"","version_season","full_name","age_during_show","race","poc","date_of_birth","date_of_death","occupation","gender","ethnicity","personality_type_binary","episode","days_survived","order","contestant_count","result","city","state","region","NE","South","West","Midwest"
"1","US01","Sonja Christopher",63,NA,"White",1937-01-28,NA,"Musician","Female","White","Extrovert",1,3,1,16,"1st voted out","Walnut Creek","California","West",0,0,1,0
"2","US01","B.B. Andersen",64,NA,"White",1936-01-18,2013-10-29,"Real Estate Developer","Male","White","Extrovert",2,6,2,16,"2nd voted out","Mission Hills","Kansas","Midwest",0,0,0,1
"3","US01","Stacey Stillman",27,NA,"White",1972-08-11,NA,"Attorney","Female","White","Extrovert",3,9,3,16,"3rd voted out","San Francisco","California","West",0,0,1,0
"4","US01","Ramona Gray",29,"Black","POC",1971-01-20,NA,"Biochemist/Chemist","Female","Black","Introvert",4,12,4,16,"4th voted out","Edison","New Jersey","Northeast",1,0,0,0
"5","US01","Dirk Been",23,NA,"White",1976-06-15,NA,"Dairy Farmer","Male","White","Introvert",5,15,5,16,"5th voted out","Spring Green","Wisconsin","Midwest",0,0,0,1
"6","US01","Joel Klug",27,NA,"White",1972-04-13,NA,"Health Club Consultant","Male","White","Extrovert",6,18,6,16,"6th voted out","Sherwood","Arkansas","South",0,1,0,0
"7","US01","Gretchen Cordy",38,NA,"White",1962-02-07,NA,"Teacher","Female","White","Extrovert",7,21,7,16,"7th voted out","Clarksville","Tennessee","South",0,1,0,0
"8","US01","Greg Buis",24,NA,"White",1975-12-31,NA,"Ivy League Graduate","Male","White","Introvert",8,24,8,16,"8th voted out","Gold Hill","Colorado","West",0,0,1,0
"9","US01","Jenna Lewis",22,NA,"White",1977-07-16,NA,"Student","Female","White","Extrovert",9,27,9,16,"9th voted out","Franklin","New Hampshire","Northeast",1,0,0,0
"10","US01","Gervase Peterson",30,"Black","POC",1969-11-02,NA,"YMCA Basketball Coach;Cigar Lounge Owner","Male","Black","Extrovert",10,30,10,16,"10th voted out","Willingboro","New Jersey","Northeast",1,0,0,0
"11","US01","Colleen Haskell",23,NA,"White",1976-12-06,NA,"Student","Female","White","Introvert",11,33,11,16,"11th voted out","Miami Beach","Florida","South",0,1,0,0
"12","US01","Sean Kenniff",30,NA,"White",1969-11-27,NA,"Doctor","Male","White","Introvert",12,36,12,16,"12th voted out","Carle Place","New York","Northeast",1,0,0,0
"13","US01","Susan Hawk",38,NA,"White",1961-08-17,NA,"Truck Driver","Female","White","Extrovert",13,37,13,16,"13th voted out","Palmyra","Wisconsin","Midwest",0,0,0,1
"14","US01","Rudy Boesch",72,NA,"White",1928-01-20,2019-11-01,"Retired Navy SEAL","Male","White","Introvert",13,38,14,16,"14th voted out","Virginia Beach","Virginia","South",0,1,0,0
"15","US01","Kelly Wiglesworth",22,NA,"White",1977-06-24,NA,"River Guide","Female","White","Introvert",14,39,15,16,"Runner-up","Kernville","California","West",0,0,1,0
"16","US01","Richard Hatch",39,NA,"White",1961-04-08,NA,"Corporate Trainer","Male","White","Extrovert",14,39,16,16,"Sole Survivor","Newport","Rhode Island","Northeast",1,0,0,0
"17","US02","Debb Eaton",45,NA,"White",1955-06-11,NA,"Corrections Officer","Female","White","Introvert",1,3,1,16,"1st voted out","Milan","New Hampshire","Northeast",1,0,0,0
"18","US02","Kel Gleason",32,NA,"POC",1968-01-05,NA,"Army Intelligence Officer","Male",NA,"Introvert",2,6,2,16,"2nd voted out","Fort Hood","Texas","South",0,1,0,0
"19","US02","Maralyn Hershey",51,NA,"White",1949-01-24,NA,"Retired Police Officer","Female","White","Extrovert",3,9,3,16,"3rd voted out","Wakefield","Virginia","South",0,1,0,0
"20","US02","Mitchell Olson",23,NA,"White",1977-03-17,NA,"Singer/Songwriter","Male","White","Extrovert",4,12,4,16,"4th voted out","Union City","New Jersey","Northeast",1,0,0,0
"21","US02","Kimmi Kappenberg",27,NA,"White",1972-11-11,NA,"Bartender","Female","White","Extrovert",5,15,5,16,"5th voted out","Ronkonkoma","New York","Northeast",1,0,0,0
"22","US02","Michael Skupin",38,NA,"White",1962-01-29,NA,"Software Publisher;Part-Time Professional Speaker","Male","White","Extrovert",6,17,6,16,"Medically evacuated","White Lake","Michigan","Midwest",0,0,0,1
"23","US02","Jeff Varner",34,NA,"White",1966-04-16,NA,"Internet Projects Manager","Male","White","Extrovert",7,21,7,16,"6th voted out","Manhattan","New York","Northeast",1,0,0,0
"24","US02","Alicia Calaway",32,"Black","POC",1968-05-01,NA,"Personal Trainer","Female","Black","Extrovert",8,24,8,16,"7th voted out","Manhattan","New York","Northeast",1,0,0,0
"25","US02","Jerri Manthey",30,NA,"White",1970-09-05,NA,"Aspiring Actress","Female","White","Extrovert",10,27,9,16,"8th voted out","Los Angeles","California","West",0,0,1,0
"26","US02","Nick Brown",23,"Black","POC",1977-04-02,NA,"Harvard Law Student","Male","Black","Introvert",11,30,10,16,"9th voted out","Steilacoom","Washington","West",0,0,1,0
"27","US02","Rodger Bingham",53,NA,"White",1947-07-05,NA,"Teacher/Farmer","Male","White","Introvert",13,36,12,16,"11th voted out","Crittenden","Kentucky","South",0,1,0,0
"28","US02","Elisabeth Filarski",23,NA,"White",1977-05-28,NA,"Footwear Designer","Female","White","Introvert",14,39,13,16,"12th voted out","Newton","Massachusetts","Northeast",1,0,0,0
"29","US02","Keith Famie",40,NA,"White",1960-02-11,NA,"Chef","Male","White","Extrovert",15,41,14,16,"13th voted out","West Bloomfield","Michigan","Midwest",0,0,0,1
"30","US02","Colby Donaldson",26,NA,"White",1974-04-01,NA,"Auto Customizer","Male","White","Introvert",16,42,15,16,"Runner-up","Dallas","Texas","South",0,1,0,0
"31","US02","Tina Wesson",40,NA,"White",1960-12-26,NA,"Personal Nurse;Motivational Speaker","Female","White","Extrovert",16,42,16,16,"Sole Survivor","Knoxville","Tennessee","South",0,1,0,0
"32","US02","Amber Brkich",22,NA,NA,NA,NA,NA,NA,NA,NA,12,33,11,16,"10th voted out","Beaver","Pennsylvania","Northeast",1,0,0,0
"33","US03","Diane Ogden",42,NA,"White",1959-04-27,NA,"U.S. Mail Carrier","Female","White","Extrovert",1,3,1,16,"1st voted out","Lincoln","Nebraska","Midwest",0,0,0,1
"34","US03","Jessie Camacho",26,NA,"POC",1974-09-24,NA,"Deputy Sheriff","Female",NA,"Introvert",2,6,2,16,"2nd voted out","Orlando","Florida","South",0,1,0,0
"35","US03","Carl Bilancione",46,NA,"White",1955-06-20,NA,"Dentist","Male","White","Extrovert",3,9,3,16,"3rd voted out","Winter Springs","Florida","South",0,1,0,0
"36","US03","Linda Spencer",44,"Black","POC",1957-01-01,NA,"Career Counselor","Female","Black","Extrovert",4,12,4,16,"4th voted out","Boston","Massachusetts","Northeast",1,0,0,0
"37","US03","Silas Gaither",23,NA,"White",1978-01-28,NA,"Bartender","Male","White","Extrovert",5,15,5,16,"5th voted out","Los Angeles","California","West",0,0,1,0
"38","US03","Lindsey Richter",26,NA,"White",1974-08-31,NA,"Advertising Executive","Female","White","Extrovert",6,18,6,16,"6th voted out","Portland","Oregon","West",0,0,1,0
"39","US03","Clarence Black",24,"Black","POC",1976-12-21,NA,"Basketball Coach","Male","Black","Introvert",7,21,7,16,"7th voted out","Detroit","Michigan","Midwest",0,0,0,1
"40","US03","Kelly Goldsmith",22,NA,"White",1979-04-27,NA,"Behavioral Research Analyst","Female","White","Extrovert",9,24,8,16,"8th voted out","San Diego","California","West",0,0,1,0
